code;id;state;region;province;location;station;dataset;filename;frequency;longitude;latitude;elevation
ASN00002044;;;;;;LAKE ARGYLE RESORT;ghcnd;ASN00002044;01d;128.7414;-16.1119;163.0
ASN00002046;;;;;;ADA VALE;ghcnd;ASN00002046;01d;128.1000;-16.9500;-999.9
ASN00002047;;;;;;BEDFORD DOWNS;ghcnd;ASN00002047;01d;127.4617;-17.2631;530.0
ASN00002048;;;;;;FLORA VALLEY;ghcnd;ASN00002048;01d;128.4419;-18.2972;380.0
ASN00002049;;;;;;SOPHIE DOWNS;ghcnd;ASN00002049;01d;127.8147;-18.1947;400.0
ASN00002050;;;;;;SPRINGVALE;ghcnd;ASN00002050;01d;127.6853;-17.7842;420.0
ASN00002051;;;;;;BILLILUNA;ghcnd;ASN00002051;01d;127.6644;-19.5561;305.0
ASN00002052;;;;;;TROPICAL FARM - ORD RIVER;ghcnd;ASN00002052;01d;128.7397;-15.8367;40.0
ASN00002053;;;;;;LANSDOWNE;ghcnd;ASN00002053;01d;126.7442;-17.6133;400.0
ASN00002055;;;;;;LEWIS CREEK;ghcnd;ASN00002055;01d;128.5333;-19.1000;-999.9
ASN00002056;;;;;;KUNUNURRA AERO;ghcnd;ASN00002056;01d;128.7100;-15.7814;44.0
ASN00002057;;;;;;BUNGLE BUNGLE NATIONAL PARK;ghcnd;ASN00002057;01d;128.2992;-17.4206;320.0
ASN00002058;;;;;;EUROTO;ghcnd;ASN00002058;01d;128.4833;-18.3500;-999.9
ASN00002059;;;;;;RUBY CREEK GOLDMINE;ghcnd;ASN00002059;01d;127.7500;-18.4333;-999.9
ASN00002060;;;;;;KINGSTON REST;ghcnd;ASN00002060;01d;128.4150;-16.0397;69.0
ASN00002061;;;;;;CARRANYA STATION;ghcnd;ASN00002061;01d;127.7692;-19.2353;354.0
ASN00002062;;;;;;FOX RIVER;ghcnd;ASN00002062;01d;128.0314;-18.4236;310.0
ASN00002063;;;;;;LARRANGANNI;ghcnd;ASN00002063;01d;128.4581;-19.8761;470.0
ASN00002064;;;;;;ARGYLE AERODROME;ghcnd;ASN00002064;01d;128.4517;-16.6381;164.0
ASN00002065;;;;;;MORNINGTON;ghcnd;ASN00002065;01d;126.2281;-17.3936;280.0
ASN00002066;;;;;;CARRANYA 2;ghcnd;ASN00002066;01d;127.6497;-19.1764;350.0
ASN00002067;;;;;;KUNUNURRA CHECKPOINT;ghcnd;ASN00002067;01d;128.9991;-15.9816;80.0
ASN00002069;;;;;;KACHANA;ghcnd;ASN00002069;01d;127.7836;-16.4433;270.0
ASN00002070;;;;;;PHILLIPS RANGE;ghcnd;ASN00002070;01d;126.1267;-16.8828;416.0
ASN00002071;;;;;;HALLS CREEK COMPARISON;ghcnd;ASN00002071;01d;127.6625;-18.2303;422.0
ASN00002075;;;;;;BULKA;ghcnd;ASN00002075;01d;126.0931;-19.0378;190.0
ASN00003000;;;;;;BEAGLE BAY;ghcnd;ASN00003000;01d;122.6667;-16.9806;9.0
ASN00003001;;;;;;COUNTRY DOWNS;ghcnd;ASN00003001;01d;122.5711;-17.2767;153.0
ASN00003002;;;;;;BROOME POST OFFICE;ghcnd;ASN00003002;01d;122.2500;-17.9500;19.0
ASN00003003;;;;;;BROOME AIRPORT;ghcnd;ASN00003003;01d;122.2353;-17.9475;7.4
ASN00003004;;;;;;CAPE LEVEQUE;ghcnd;ASN00003004;01d;122.9278;-16.3961;25.0
ASN00003005;;;;;;FAIRFIELD STATION;ghcnd;ASN00003005;01d;125.0650;-17.5731;120.0
ASN00003006;;;;;;FITZROY CROSSING COMP.;ghcnd;ASN00003006;01d;125.5644;-18.1919;114.0
ASN00003007;;;;;;DERBY POST OFFICE;ghcnd;ASN00003007;01d;123.6292;-17.3044;8.0
ASN00003008;;;;;;ELLENDALE;ghcnd;ASN00003008;01d;124.8108;-17.9281;120.0
ASN00003009;;;;;;JUBILEE DOWNS;ghcnd;ASN00003009;01d;125.3033;-18.3550;100.0
ASN00003010;;;;;;KIMBERLEY DOWNS;ghcnd;ASN00003010;01d;124.3578;-17.3897;90.0
ASN00003011;;;;;;LEOPOLD DOWNS;ghcnd;ASN00003011;01d;125.3807;-17.7535;220.0
ASN00003012;;;;;;LIVERINGA UPPER;ghcnd;ASN00003012;01d;124.1728;-18.0483;60.0
ASN00003013;;;;;;LULUIGUI;ghcnd;ASN00003013;01d;124.0275;-18.1450;80.0
ASN00003014;;;;;;GOGO STATION;ghcnd;ASN00003014;01d;125.5869;-18.2914;150.0
ASN00003015;;;;;;MEDA;ghcnd;ASN00003015;01d;123.9956;-17.3681;75.0
ASN00003016;;;;;;MOUNT ANDERSON;ghcnd;ASN00003016;01d;123.9286;-18.0358;40.0
ASN00003017;;;;;;MOUNT HOUSE STATION;ghcnd;ASN00003017;01d;125.7047;-17.0522;270.0
ASN00003018;;;;;;MYROODAH;ghcnd;ASN00003018;01d;124.2692;-18.1219;60.0
