code;id;state;region;province;location;station;dataset;filename;frequency;longitude;latitude;elevation
003128;;RU;;;;AXTY'                                       ;eca;RR_STAID003128;01d;47.750000000;41.466666667;1016
003132;;TJ;;;;DUSHANBE                                    ;eca;RR_STAID003132;01d;68.800000000;38.549444444;803
003136;;TJ;;;;KHOROG                                      ;eca;RR_STAID003136;01d;71.500000000;37.500000000;2077
003148;;TM;;;;KYSHKA                                      ;eca;RR_STAID003148;01d;62.349444444;35.279444444;625
003155;;UZ;;;;TAMDY                                       ;eca;RR_STAID003155;01d;64.616666667;41.733055556;237
003156;;UZ;;;;TASHKENT                                    ;eca;RR_STAID003156;01d;69.269444444;41.270000000;477
003158;;UZ;;;;DARGAN-ATA                                  ;eca;RR_STAID003158;01d;62.299444444;40.500000000;143
003159;;UZ;;;;NURATA                                      ;eca;RR_STAID003159;01d;65.699444444;40.599444444;485
003163;;UZ;;;;FERGANA                                     ;eca;RR_STAID003163;01d;71.750000000;40.366666667;577
003166;;UZ;;;;TERMEZ                                      ;eca;RR_STAID003166;01d;67.269444444;37.229444444;309
003179;;NL;;;;K13                                         ;eca;RR_STAID003179;01d;3.220277778;53.217777778;37
003192;;NL;;;;ROTTERDAM-GEULHAVEN                         ;eca;RR_STAID003192;01d;4.312500000;51.891666667;3
003193;;RU;;;;DIKSON                                      ;eca;RR_STAID003193;01d;80.400000000;73.500000000;42
003194;;RU;;;;XATANGA                                     ;eca;RR_STAID003194;01d;102.466666667;71.983055556;31
003195;;RU;;;;CHOKURDAX                                   ;eca;RR_STAID003195;01d;147.883055556;70.616666667;44
003196;;RU;;;;OSTROV VRANGELYA                            ;eca;RR_STAID003196;01d;181.516666667;70.983055556;2
003197;;RU;;;;MY'S KAMENNY'J                              ;eca;RR_STAID003197;01d;73.583055556;68.466666667;2
003198;;RU;;;;TURUXANSK                                   ;eca;RR_STAID003198;01d;87.933055556;65.783055556;38
003199;;RU;;;;BOR                                         ;eca;RR_STAID003199;01d;90.016666667;61.600000000;62
003200;;RU;;;;BAJKIT                                      ;eca;RR_STAID003200;01d;96.366666667;61.666666667;256
003201;;RU;;;;IVDEL'                                      ;eca;RR_STAID003201;01d;60.450000000;60.683055556;93
003202;;RU;;;;ALEKSANDROVSKOE                             ;eca;RR_STAID003202;01d;77.866666667;60.433055556;47
003203;;RU;;;;OLENEK                                      ;eca;RR_STAID003203;01d;112.433055556;68.500000000;217
003204;;RU;;;;VERXOYANSK                                  ;eca;RR_STAID003204;01d;133.400000000;67.566666667;136
003205;;RU;;;;ZHIGANSK                                    ;eca;RR_STAID003205;01d;123.400000000;66.766666667;88
003206;;RU;;;;TURA                                        ;eca;RR_STAID003206;01d;100.233055556;64.266666667;205
003207;;RU;;;;VILYUJSK                                    ;eca;RR_STAID003207;01d;121.616666667;63.783055556;111
003208;;RU;;;;OJMYAKON                                    ;eca;RR_STAID003208;01d;143.150000000;63.250000000;740
003209;;RU;;;;SUNTAR                                      ;eca;RR_STAID003209;01d;117.650000000;62.150000000;131
003210;;RU;;;;ERBOGACHEN                                  ;eca;RR_STAID003210;01d;108.016666667;61.266666667;284
003211;;RU;;;;VANAVARA                                    ;eca;RR_STAID003211;01d;102.266666667;60.333055556;259
003212;;RU;;;;OLEKMINSK                                   ;eca;RR_STAID003212;01d;120.416666667;60.400000000;225
003213;;RU;;;;ISIT'                                       ;eca;RR_STAID003213;01d;125.316666667;60.816666667;123
003214;;RU;;;;YAKUTSK                                     ;eca;RR_STAID003214;01d;129.716666667;62.016666667;98
003215;;RU;;;;UST'-MAYA                                   ;eca;RR_STAID003215;01d;134.449722222;60.383055556;169
003216;;RU;;;;MY'S SHMIDTA                                ;eca;RR_STAID003216;01d;180.633055556;68.900000000;2
003217;;RU;;;;MARKOVO                                     ;eca;RR_STAID003217;01d;170.416666667;64.683055556;25
003218;;RU;;;;ANADY'R'                                    ;eca;RR_STAID003218;01d;177.566666667;64.783055556;64
003219;;RU;;;;BUXTA PROVIDENIYA                           ;eca;RR_STAID003219;01d;186.766666667;64.416666667;25
003220;;RU;;;;SEJMCHAN                                    ;eca;RR_STAID003220;01d;152.416666667;62.916666667;206
003221;;RU;;;;KAMENSKOE                                   ;eca;RR_STAID003221;01d;166.216666667;62.483055556;10
003222;;RU;;;;MAGADAN                                     ;eca;RR_STAID003222;01d;150.783055556;59.550000000;115
003223;;RU;;;;KORF                                        ;eca;RR_STAID003223;01d;166.000000000;60.350000000;2
003224;;RU;;;;NIZHNIJ NOVGOROD                            ;eca;RR_STAID003224;01d;44.000000000;56.266666667;161
003225;;RU;;;;SAMARA                                      ;eca;RR_STAID003225;01d;50.216666667;53.250000000;136
003226;;RU;;;;KOLPASHEVO                                  ;eca;RR_STAID003226;01d;82.883055556;58.300000000;73
003227;;RU;;;;ENISEJSK                                    ;eca;RR_STAID003227;01d;92.150000000;58.450000000;77
003228;;RU;;;;BOGUCHANY'                                  ;eca;RR_STAID003228;01d;97.450000000;58.383055556;131
003229;;RU;;;;TOMSK                                       ;eca;RR_STAID003229;01d;84.916666667;56.500000000;141
003230;;RU;;;;KRASNOYARSK OP.P                            ;eca;RR_STAID003230;01d;92.750000000;56.033055556;277
003231;;RU;;;;BARABINSK                                   ;eca;RR_STAID003231;01d;78.366666667;55.333055556;119
003232;;KZ;;;;IRTYSHSK                                    ;eca;RR_STAID003232;01d;75.450000000;53.350000000;94
003233;;RU;;;;BARNAUL                                     ;eca;RR_STAID003233;01d;83.516666667;53.433055556;183
003234;;RU;;;;MINUSINSK                                   ;eca;RR_STAID003234;01d;91.700000000;53.716666667;254
003235;;RU;;;;VITIM                                       ;eca;RR_STAID003235;01d;112.583055556;59.450000000;186
003236;;RU;;;;KIRENSK                                     ;eca;RR_STAID003236;01d;108.066666667;57.766666667;257
003237;;RU;;;;BODAJBO                                     ;eca;RR_STAID003237;01d;114.233055556;57.850000000;278
003238;;RU;;;;CHARA                                       ;eca;RR_STAID003238;01d;118.266666667;56.900000000;709
003239;;RU;;;;CHUL'MAN                                    ;eca;RR_STAID003239;01d;124.866666667;56.833055556;855
003240;;RU;;;;ZHIGALOVO                                   ;eca;RR_STAID003240;01d;105.166666667;54.800000000;417
003241;;RU;;;;TROI����KIJ PRIISK                            ;eca;RR_STAID003241;01d;113.133055556;54.616666667;1315
003242;;RU;;;;BARGUZIN                                    ;eca;RR_STAID003242;01d;109.633055556;53.616666667;488
003243;;RU;;;;MOGOCHA                                     ;eca;RR_STAID003243;01d;119.733055556;53.750000000;624
003244;;RU;;;;SKOVORODINO                                 ;eca;RR_STAID003244;01d;123.966666667;54.000000000;397
003245;;RU;;;;IRKUTSK OBSERV.                             ;eca;RR_STAID003245;01d;104.350000000;52.266666667;467
003246;;RU;;;;CHITA                                       ;eca;RR_STAID003246;01d;113.483055556;52.083055556;671
003247;;RU;;;;SRETENSK                                    ;eca;RR_STAID003247;01d;117.700000000;52.233055556;528
003248;;RU;;;;ULAN-UDE'                                   ;eca;RR_STAID003248;01d;107.600000000;51.833055556;514
003249;;RU;;;;KYAXTA                                      ;eca;RR_STAID003249;01d;106.450000000;50.366666667;791
003250;;RU;;;;KY'RA                                       ;eca;RR_STAID003250;01d;111.966666667;49.566666667;907
003251;;RU;;;;BORZYA                                      ;eca;RR_STAID003251;01d;116.516666667;50.400000000;675
003252;;RU;;;;ALDAN                                       ;eca;RR_STAID003252;01d;125.033055556;58.616666667;678
003253;;RU;;;;OXOTSK                                      ;eca;RR_STAID003253;01d;143.216388889;59.366666667;5
003254;;RU;;;;AYAN                                        ;eca;RR_STAID003254;01d;138.150000000;56.450000000;6
003255;;RU;;;;BOMNAK                                      ;eca;RR_STAID003255;01d;128.866666667;54.716666667;365
003256;;RU;;;;E'KIMCHAN                                   ;eca;RR_STAID003256;01d;132.983055556;53.083055556;540
003257;;RU;;;;NIKOLAEVSK-NA-AMURE                         ;eca;RR_STAID003257;01d;140.716388889;53.150000000;67
003258;;RU;;;;NORSK                                       ;eca;RR_STAID003258;01d;129.916666667;52.350000000;207
003259;;RU;;;;IM. POLINY' OSIPENKO                        ;eca;RR_STAID003259;01d;136.500000000;52.416666667;69
003260;;RU;;;;BLAGOVES����ENSK                              ;eca;RR_STAID003260;01d;127.500000000;50.250000000;130
003261;;RU;;;;CHEKUNDA                                    ;eca;RR_STAID003261;01d;132.250000000;50.866666667;271
003262;;RU;;;;ARXARA                                      ;eca;RR_STAID003262;01d;130.083055556;49.416666667;133
003263;;RU;;;;EKATERINO-NIKOL'SKOE                        ;eca;RR_STAID003263;01d;130.966666667;47.733055556;72
003264;;RU;;;;XABAROVSK                                   ;eca;RR_STAID003264;01d;135.166666667;48.516666667;75
003265;;RU;;;;ZOLOTOJ                                     ;eca;RR_STAID003265;01d;138.983055556;47.316666667;27
003266;;RU;;;;DAL'NERECHENSK                              ;eca;RR_STAID003266;01d;133.733055556;45.866666667;100
003267;;RU;;;;TERNEJ                                      ;eca;RR_STAID003267;01d;136.600000000;45.000000000;51
003268;;RU;;;;POGRANICHNY'J                               ;eca;RR_STAID003268;01d;131.383055556;44.400000000;217
003269;;RU;;;;VLADIVOSTOK                                 ;eca;RR_STAID003269;01d;131.933055556;43.800000000;187
003270;;RU;;;;ALEKSANDROVSK-SAXALINSKIJ                   ;eca;RR_STAID003270;01d;142.166666667;50.900000000;30
003271;;RU;;;;PORONAJSK                                   ;eca;RR_STAID003271;01d;143.100000000;49.216666667;7
003272;;RU;;;;YUZHNO-KURIL'SK                             ;eca;RR_STAID003272;01d;145.866666667;44.016666667;44
003273;;RU;;;;KLYUCHI                                     ;eca;RR_STAID003273;01d;160.833055556;56.316666667;28
003274;;RU;;;;ICHA                                        ;eca;RR_STAID003274;01d;155.583055556;55.583055556;5
003275;;RU;;;;PETROPAVLOVSK-KAMCHATSKIJ                   ;eca;RR_STAID003275;01d;158.650000000;52.983055556;32
003276;;UA;;;;LVIV_AMSC                                   ;eca;RR_STAID003276;01d;23.965277778;49.807500000;319
003277;;UA;;;;CHERNIVTSI_AMSG                             ;eca;RR_STAID003277;01d;25.972500000;48.266388889;242
003278;;KZ;;;;ASTANA                                      ;eca;RR_STAID003278;01d;71.366666667;51.133055556;350
003279;;KZ;;;;AKTOBE                                      ;eca;RR_STAID003279;01d;57.150000000;50.283055556;219
003280;;KZ;;;;TAIPAK                                      ;eca;RR_STAID003280;01d;51.866666667;49.050000000;2
003281;;KZ;;;;IRGIZ                                       ;eca;RR_STAID003281;01d;61.266666667;48.616666667;156
003282;;KZ;;;;KARSAKPAJ                                   ;eca;RR_STAID003282;01d;66.750000000;47.833055556;488
003283;;KZ;;;;BALHASH                                     ;eca;RR_STAID003283;01d;75.083055556;46.800000000;350
003284;;RU;;;;RUB����OVSK                                   ;eca;RR_STAID003284;01d;81.200000000;51.583055556;216
003285;;KZ;;;;SEMEJ                                       ;eca;RR_STAID003285;01d;80.300000000;50.416666667;196
003286;;KZ;;;;ZAJSAN                                      ;eca;RR_STAID003286;01d;84.916666667;47.466666667;603
003287;;KZ;;;;UCH-ARAL                                    ;eca;RR_STAID003287;01d;80.933055556;46.166666667;388
003288;;KZ;;;;ZHARKENT                                    ;eca;RR_STAID003288;01d;80.066666667;44.166666667;645
003289;;KZ;;;;ALMATY                                      ;eca;RR_STAID003289;01d;76.933055556;43.233055556;851
003290;;KG;;;;NARYN                                       ;eca;RR_STAID003290;01d;76.000000000;41.433055556;2041
003292;;TM;;;;TURKMEN-BASHI                               ;eca;RR_STAID003292;01d;53.000000000;40.050000000;82
003293;;TJ;;;;KHUDJAND                                    ;eca;RR_STAID003293;01d;69.733055556;40.216666667;427
003294;;UZ;;;;SAMARKAND                                   ;eca;RR_STAID003294;01d;66.950000000;39.566666667;724
003295;;TM;;;;ESENGYLY                                    ;eca;RR_STAID003295;01d;53.633055556;37.466666667;-22
003296;;TM;;;;ASHGABAT                                    ;eca;RR_STAID003296;01d;58.333055556;37.966666667;208
003297;;TJ;;;;KURGAN-TYUBE                                ;eca;RR_STAID003297;01d;68.783055556;37.816666667;429
003298;;TM;;;;SARAGT                                      ;eca;RR_STAID003298;01d;61.216666667;36.533055556;275
003299;;TM;;;;GYSHGY                                      ;eca;RR_STAID003299;01d;62.350000000;35.283055556;625
003301;;SI;;;;CRNOMELJ-DOBLICE                            ;eca;RR_STAID003301;01d;15.145833333;45.560000000;157
003311;;SI;;;;KOCEVJE                                     ;eca;RR_STAID003311;01d;14.849444444;45.645555556;468
003312;;SI;;;;LESCE                                       ;eca;RR_STAID003312;01d;14.161666667;46.360833333;503
003316;;SI;;;;TOPOL PRI MEDVODAH                          ;eca;RR_STAID003316;01d;14.370277778;46.093055556;662
003317;;SI;;;;VOJSKO                                      ;eca;RR_STAID003317;01d;13.901944444;46.025277778;1065
003322;;SI;;;;NOVA VAS NA BLOKAH                          ;eca;RR_STAID003322;01d;14.509166667;45.773055556;720
003323;;SI;;;;POSTOJNA                                    ;eca;RR_STAID003323;01d;14.193055556;45.765833333;533
003325;;SI;;;;VELIKI DOLENCI                              ;eca;RR_STAID003325;01d;16.287777778;46.836388889;308
003326;;SI;;;;BILJE                                       ;eca;RR_STAID003326;01d;13.623888889;45.895555556;55
003328;;SI;;;;NOVO MESTO                                  ;eca;RR_STAID003328;01d;15.176944444;45.801666667;220
003329;;SI;;;;SMARTNO PRI SLOVENJ GRADCU                  ;eca;RR_STAID003329;01d;15.110833333;46.489444444;444
003330;;SI;;;;LETALISCE JOZETA PUCNIKA LJUBLJANA          ;eca;RR_STAID003330;01d;14.478055556;46.211388889;362
003331;;SI;;;;LETALISCE EDVARDA RUSJANA MARIBOR           ;eca;RR_STAID003331;01d;15.681666667;46.479444444;264
003332;;SI;;;;PORTOROZ-LETALISCE                          ;eca;RR_STAID003332;01d;13.615833333;45.475277778;2
003333;;SI;;;;CELJE-MEDLOG                                ;eca;RR_STAID003333;01d;15.225555556;46.236666667;242
003334;;SI;;;;LISCA                                       ;eca;RR_STAID003334;01d;15.285000000;46.067777778;947
003335;;SI;;;;MURSKA SOBOTA-RAKICAN                       ;eca;RR_STAID003335;01d;16.191388889;46.651944444;187
003336;;SI;;;;RATECE-PLANICA                              ;eca;RR_STAID003336;01d;13.700000000;46.500000000;864
003505;;IT;;;;PESARO                                      ;eca;RR_STAID003505;01d;12.904166667;43.910833333;11
003506;;DE;;;;STUTTGART-SCHNARRENBERG                     ;eca;RR_STAID003506;01d;9.200833333;48.829166667;314
003507;;GB;;;;BRAEMAR-1                                   ;eca;RR_STAID003507;01d;-3.395833333;57.010833333;327
003508;;GB;;;;LOWESTOFT MONKTON AVENUE                    ;eca;RR_STAID003508;01d;1.730833333;52.483055556;18
003509;;SE;;;;MALMO A                                     ;eca;RR_STAID003509;01d;13.073055556;55.571388889;20
003510;;SE;;;;TORUP A                                     ;eca;RR_STAID003510;01d;13.062500000;56.949444444;130
003511;;SE;;;;TORUP                                       ;eca;RR_STAID003511;01d;13.070833333;56.963055556;85
003512;;SE;;;;NIDINGEN A                                  ;eca;RR_STAID003512;01d;11.906388889;57.303888889;2
003513;;SE;;;;MALILLA A                                   ;eca;RR_STAID003513;01d;15.803333333;57.384444444;95
003514;;SE;;;;NORDKOSTER A                                ;eca;RR_STAID003514;01d;11.005833333;58.892500000;33
003515;;SE;;;;HARSTENA A                                  ;eca;RR_STAID003515;01d;17.010555556;58.250555556;14
